"reldenom","egender","ks2aps","region","instype","totpups","ofstedgrade"
"Religious","Single-sex",27.4,"London","Voluntary",1476,"Good"
"Religious","Mixed",27.1,"London","Voluntary",1104,"Good"
"Non-religious","Mixed",26.8,"London","Community",928,"Requires Improvement"
"Non-religious","Mixed",27.4,"London","Community",1477,"Outstanding"
"Non-religious","Single-sex",27.5,"London","Community",1437,"Outstanding"
"Non-religious","Mixed",27.1,"London","Community",781,"Good"
"Religious","Mixed",28.2,"London","Voluntary",701,"Good"
"Religious","Mixed",25.7,"London","Foundation",1211,"Outstanding"
"Religious","Mixed",28,"London","Voluntary",1587,"Inadequate"
"Non-religious","Single-sex",27.8,"London","Community",916,"Good"
"Non-religious","Mixed",27.1,"London","Community",1236,"Outstanding"
"Religious","Mixed",NA,"London","Academy",168,"Requires Improvement"
"Non-religious","Mixed",3,"London","Community",80,"Outstanding"
"Non-religious","Single-sex",NA,"London","Community",29,"Good"
"Non-religious","Mixed",NA,"London","Community",32,"Outstanding"
"Non-religious","Mixed",6.3,"London","Community",190,"Outstanding"
"Religious","Mixed",26.3,"London","Academy",440,"Good"
"Non-religious","Mixed",28.3,"London","Academy",1289,"Outstanding"
"Religious","Mixed",NA,"London","Academy",355,"Good"
"Religious","Single-sex",27.7,"London","Academy",1792,"Good"
"Religious","Mixed",28.3,"London","Academy",981,"Outstanding"
"Non-religious","Single-sex",27.2,"London","Community",1257,"Outstanding"
"Religious","Mixed",30,"London","Academy",1968,"Outstanding"
"Religious","Mixed",26.1,"London","Voluntary",422,"Good"
"Religious","Mixed",26.4,"London","Academy",1285,"Good"
"Non-religious","Mixed",3.5,"London","Community",56,"Outstanding"
"Non-religious","Mixed",13.9,"London","Community",185,"Outstanding"
"Non-religious","Mixed",5.7,"London","Community",144,"Requires Improvement"
"Non-religious","Single-sex",20.1,"London","Community",87,"Good"
"Non-religious","Mixed",15.3,"London","Community",76,"Outstanding"
"Non-religious","Mixed",3.9,"London","Community",162,"Outstanding"
"Non-religious","Mixed",27.1,"London","Academy",824,"Outstanding"
"Religious","Single-sex",30.1,"London","Academy",1036,"Outstanding"
"Religious","Mixed",26,"London","Academy",1192,"Outstanding"
"Non-religious","Mixed",26.7,"London","Academy",1216,"Outstanding"
"Religious","Mixed",27.3,"London","Academy",1364,"Requires Improvement"
"Religious","Mixed",26.6,"London","Voluntary",936,"Outstanding"
"Religious","Mixed",27.3,"London","Academy",858,"Outstanding"
"Religious","Single-sex",29.7,"London","Academy",1069,"Outstanding"
"Religious","Mixed",25.8,"London","Academy",1102,"Outstanding"
"Religious","Single-sex",28.4,"London","Academy",765,"Good"
"Non-religious","Mixed",8.5,"London","Community",93,"Good"
"Non-religious","Mixed",NA,"London","Community",65,"Good"
"Religious","Mixed",27.2,"London","Voluntary",1168,"Good"
"Non-religious","Mixed",28.2,"London","Community",1950,"Good"
"Religious","Mixed",26.2,"London","Voluntary",1262,"Requires Improvement"
"Non-religious","Mixed",25,"London","Community",892,"Requires Improvement"
"Non-religious","Mixed",26.8,"London","Community",1744,"Good"
"Non-religious","Mixed",26.8,"London","Community",1330,"Good"
"Religious","Mixed",NA,"London","Academy",365,"Good"
"Non-religious","Mixed",27.9,"London","Community",1812,"Good"
"Non-religious","Mixed",4.9,"London","Community",281,"Outstanding"
"Religious","Mixed",NA,"London","Academy",300,"Good"
"Religious","Mixed",28.9,"London","Academy",1492,"Outstanding"
"Religious","Mixed",26.5,"London","Voluntary",754,"Good"
"Non-religious","Single-sex",27.8,"London","Academy",871,"Requires Improvement"
"Non-religious","Mixed",27.1,"London","Academy",981,"Outstanding"
"Non-religious","Single-sex",27.3,"London","Academy",1070,"Good"
"Non-religious","Mixed",28.2,"London","Academy",1341,"Good"
"Religious","Single-sex",28.7,"London","Voluntary",1154,"Good"
"Non-religious","Mixed",26.4,"London","Community",795,"Good"
"Religious","Mixed",29.4,"London","Academy",1063,"Outstanding"
"Religious","Mixed",27.3,"London","Academy",1291,"Outstanding"
"Religious","Single-sex",33.4,"London","Academy",731,"Outstanding"
"Religious","Mixed",29.4,"London","Voluntary",966,"Good"
"Non-religious","Mixed",25.2,"London","Academy",1419,"Good"
"Religious","Mixed",29.1,"London","Academy",1670,"Good"
"Non-religious","Single-sex",28.8,"London","Academy",1137,"Requires Improvement"
"Religious","Single-sex",33.2,"London","Academy",1193,"Outstanding"
"Religious","Mixed",NA,"London","Academy",165,"Outstanding"
"Religious","Mixed",28.5,"London","Voluntary",1086,"Good"
"Religious","Mixed",26.3,"London","Voluntary",179,"Requires Improvement"
"Religious","Single-sex",32.8,"London","Voluntary",754,"Outstanding"
"Non-religious","Mixed",26.2,"London","Academy",591,"Requires Improvement"
"Religious","Mixed",24.3,"London","Academy",753,"Good"
"Religious","Mixed",28.8,"London","Academy",1070,"Outstanding"
"Non-religious","Mixed",3,"London","Community",73,"Good"
"Non-religious","Mixed",9.8,"London","Community",157,"Outstanding"
"Religious","Single-sex",32.1,"London","Academy",1331,"Outstanding"
"Religious","Mixed",32.5,"London","Academy",1368,"Outstanding"
"Religious","Mixed",26.4,"London","Academy",1637,"Good"
"Non-religious","Single-sex",27.9,"London","Academy",1365,"Good"
"Non-religious","Mixed",25.8,"London","Academy",1523,"Good"
"Non-religious","Mixed",32.3,"London","Academy",1353,"Good"
"Non-religious","Mixed",26.2,"London","Academy",918,"Good"
"Religious","Mixed",26.7,"London","Academy",1951,"Requires Improvement"
"Non-religious","Mixed",27,"London","Academy",1423,"Good"
"Non-religious","Mixed",28.3,"London","Academy",1064,"Outstanding"
"Religious","Single-sex",27.9,"London","Academy",1043,"Good"
"Religious","Single-sex",28.4,"London","Academy",1056,"Good"
"Religious","Single-sex",27.7,"London","Academy",555,"Good"
"Non-religious","Single-sex",32,"London","Academy",1444,"Good"
"Religious","Mixed",27.5,"London","Academy",1066,"Requires Improvement"
"Religious","Mixed",26.4,"London","Academy",1411,"Good"
"Non-religious","Mixed",3.9,"London","Community",67,"Good"
"Non-religious","Mixed",21.7,"London","Community",52,"Requires Improvement"
"Non-religious","Mixed",12.6,"London","Community",219,"Requires Improvement"
"Religious","Mixed",26.3,"London","Academy",1391,"Requires Improvement"
"Non-religious","Mixed",27.6,"London","Academy",1349,"Outstanding"
"Non-religious","Mixed",25.6,"London","Academy",1175,"Inadequate"
"Religious","Mixed",28.1,"London","Academy",1541,"Outstanding"
"Religious","Single-sex",27.4,"London","Academy",1030,"Good"
"Non-religious","Mixed",25,"London","Academy",1301,"Inadequate"
"Religious","Mixed",29.7,"London","Voluntary",2066,"Requires Improvement"
"Religious","Mixed",27.2,"London","Academy",1990,"Good"
"Religious","Single-sex",26.3,"London","Voluntary",710,"Good"
"Religious","Mixed",27.6,"London","Academy",1879,"Good"
"Religious","Mixed",27.1,"London","Academy",1275,"Good"
"Religious","Mixed",28.6,"London","Voluntary",1067,"Good"
"Religious","Mixed",28.5,"London","Academy",1329,"Outstanding"
"Non-religious","Mixed",4.6,"London","Community",249,"Good"
"Non-religious","Mixed",10,"London","Academy",146,"Outstanding"
"Religious","Mixed",28.1,"London","Academy",1129,"Good"
"Religious","Single-sex",28.6,"London","Academy",1472,"Outstanding"
"Religious","Mixed",27.7,"London","Academy",1263,"Good"
"Religious","Single-sex",28.4,"London","Academy",1235,"Good"
"Religious","Mixed",27.7,"London","Academy",1393,"Good"
"Religious","Mixed",28.8,"London","Academy",1700,"Outstanding"
"Religious","Mixed",26.4,"London","Academy",950,"Good"
"Religious","Single-sex",26.8,"London","Academy",833,"Good"
"Religious","Mixed",28.5,"London","Academy",1691,"Outstanding"
"Religious","Single-sex",26.7,"London","Academy",808,"Good"
"Religious","Single-sex",28.9,"London","Academy",1692,"Outstanding"
"Religious","Single-sex",29,"London","Academy",1696,"Good"
"Religious","Single-sex",33.1,"London","Academy",1007,"Outstanding"
"Religious","Mixed",25.9,"London","Academy",1063,"Good"
"Religious","Single-sex",28.6,"London","Academy",1440,"Good"
"Religious","Mixed",27.4,"London","Academy",1486,"Good"
"Religious","Single-sex",33.3,"London","Voluntary",1013,"Outstanding"
"Non-religious","Single-sex",20.9,"London","Community",36,"Requires Improvement"
"Non-religious","Mixed",12.7,"London","Foundation",151,"Outstanding"
"Non-religious","Mixed",10.6,"London","Community",99,"Outstanding"
"Non-religious","Mixed",5.3,"London","Community",220,"Good"
"Religious","Mixed",28.8,"London","Voluntary",741,"Good"
"Religious","Mixed",29.3,"London","Other",1202,"Good"
"Religious","Single-sex",30.1,"London","Voluntary",1065,"Outstanding"
"Religious","Mixed",27.5,"London","Foundation",1086,"Good"
"Non-religious","Mixed",26.6,"London","Academy",1023,"Outstanding"
"Non-religious","Mixed",27.6,"London","Academy",1572,"Outstanding"
"Non-religious","Mixed",25.4,"London","Academy",348,"Outstanding"
"Non-religious","Mixed",29.7,"London","Academy",1209,"Outstanding"
"Non-religious","Mixed",26.1,"London","Academy",639,"Requires Improvement"
"Religious","Single-sex",28.2,"London","Academy",1119,"Good"
"Religious","Mixed",27.2,"London","Academy",667,"Good"
"Religious","Mixed",25.6,"London","Academy",1606,"Outstanding"
"Non-religious","Mixed",24.9,"London","Academy",557,"Good"
"Religious","Mixed",28.5,"London","Academy",1889,"Good"
"Religious","Mixed",27.9,"London","Voluntary",748,"Requires Improvement"
"Religious","Single-sex",28.4,"London","Academy",1179,"Requires Improvement"
"Religious","Mixed",24.8,"London","Voluntary",680,"Requires Improvement"
"Religious","Mixed",27.8,"London","Academy",1003,"Requires Improvement"
"Religious","Mixed",27.3,"London","Voluntary",868,"Requires Improvement"
"Religious","Single-sex",27.9,"London","Voluntary",705,"Good"
"Non-religious","Mixed",28.4,"London","Academy",1190,"Good"
"Non-religious","Mixed",20.4,"London","Community",142,"Good"
"Non-religious","Mixed",9.9,"London","Community",194,"Good"
"Non-religious","Mixed",3,"London","Community",93,"Good"
"Non-religious","Mixed",13,"London","Community",104,"Good"
"Non-religious","Mixed",26,"London","Community",1322,"Good"
"Non-religious","Mixed",26,"London","Academy",1429,"Good"
"Religious","Mixed",27.1,"London","Foundation",1374,"Good"
"Religious","Mixed",28,"London","Voluntary",1883,"Good"
"Non-religious","Mixed",25.6,"London","Community",1274,"Good"
"Religious","Mixed",27.9,"London","Academy",1548,"Outstanding"
"Religious","Single-sex",27.6,"London","Foundation",1400,"Good"
"Non-religious","Mixed",28.1,"London","Community",1058,"Good"
"Non-religious","Mixed",26.7,"London","Academy",1532,"Outstanding"
"Religious","Mixed",27,"London","Foundation",1821,"Outstanding"
"Religious","Mixed",25.6,"London","Foundation",893,"Good"
"Religious","Mixed",29,"London","Academy",1485,"Outstanding"
"Religious","Mixed",27.3,"London","Foundation",1056,"Good"
"Religious","Mixed",NA,"London","Academy",375,"Outstanding"
"Non-religious","Mixed",11.1,"London","Community",147,"Good"
"Non-religious","Mixed",10.3,"London","Community",87,"Good"
"Non-religious","Mixed",3,"London","Community",88,"Good"
"Non-religious","Mixed",12.9,"London","Community",82,"Good"
"Religious","Mixed",NA,"London","Academy",252,"Outstanding"
"Non-religious","Mixed",23.6,"London","Academy",1392,"Good"
"Religious","Mixed",27.2,"London","Voluntary",725,"Good"
"Religious","Mixed",26.5,"London","Foundation",828,"Good"
"Non-religious","Mixed",27.2,"London","Community",1292,"Good"
"Non-religious","Mixed",26.8,"London","Community",1692,"Good"
"Non-religious","Single-sex",28.4,"London","Community",1122,"Outstanding"
"Religious","Single-sex",28.6,"London","Academy",1101,"Good"
"Non-religious","Mixed",NA,"London","Academy",172,"Good"
"Non-religious","Mixed",28.6,"London","Community",1518,"Outstanding"
"Non-religious","Mixed",27,"London","Academy",1465,"Good"
"Religious","Mixed",33.2,"London","Voluntary",1367,"Outstanding"
"Non-religious","Mixed",26.3,"London","Community",1274,"Good"
"Non-religious","Mixed",23.8,"London","Academy",666,"Requires Improvement"
"Religious","Mixed",26.3,"London","Academy",1049,"Good"
"Religious","Mixed",25.3,"London","Academy",1469,"Good"
"Religious","Single-sex",28.2,"London","Voluntary",1027,"Good"
"Religious","Single-sex",28.6,"London","Voluntary",1069,"Requires Improvement"
"Non-religious","Mixed",28.2,"London","Community",1508,"Outstanding"
"Non-religious","Mixed",27.2,"London","Community",1547,"Good"
"Non-religious","Mixed",NA,"London","Community",41,"Outstanding"
"Non-religious","Mixed",7,"London","Community",105,"Good"
"Non-religious","Mixed",8.1,"London","Community",95,"Good"
"Non-religious","Mixed",3,"London","Community",110,"Good"
"Non-religious","Mixed",15.4,"London","Community",144,"Outstanding"
"Non-religious","Mixed",28.4,"London","Academy",1441,"Outstanding"
"Religious","Mixed",30,"London","Foundation",1650,"Outstanding"
"Non-religious","Mixed",26.2,"London","Community",1242,"Outstanding"
"Religious","Mixed",26.4,"London","Academy",1128,"Good"
"Non-religious","Mixed",26.3,"London","Academy",968,"Good"
"Non-religious","Mixed",28.1,"London","Community",1438,"Good"
"Non-religious","Single-sex",27,"London","Community",982,"Good"
"Non-religious","Mixed",24.6,"London","Community",1026,"Good"
"Non-religious","Mixed",25.7,"London","Community",1040,"Good"
"Religious","Mixed",25,"London","Academy",876,"Outstanding"
"Non-religious","Mixed",25,"London","Academy",809,"Outstanding"
"Non-religious","Mixed",16.4,"London","Community",70,"Good"
"Non-religious","Mixed",7.4,"London","Community",120,"Good"
"Non-religious","Mixed",NA,"London","Other",86,"Outstanding"
"Non-religious","Mixed",8,"London","Community",88,"Good"
"Religious","Mixed",NA,"London","Academy",497,"Good"
"Non-religious","Single-sex",27.1,"London","Academy",1069,"Outstanding"
"Non-religious","Mixed",26.2,"London","Academy",1071,"Outstanding"
"Non-religious","Mixed",25.8,"London","Academy",794,"Good"
"Non-religious","Mixed",26.5,"London","Academy",1585,"Good"
"Non-religious","Mixed",28.4,"London","Academy",1865,"Outstanding"
"Non-religious","Mixed",28.3,"London","Academy",1570,"Outstanding"
"Non-religious","Mixed",25.8,"London","Academy",1058,"Outstanding"
"Religious","Single-sex",29,"London","Voluntary",742,"Outstanding"
"Religious","Single-sex",28.8,"London","Academy",641,"Requires Improvement"
"Non-religious","Mixed",NA,"London","Academy",500,"Good"
"Non-religious","Mixed",27.9,"London","Community",1653,"Outstanding"
"Non-religious","Mixed",3,"London","Community",72,"Outstanding"
"Non-religious","Mixed",13,"London","Community",148,"Outstanding"
"Religious","Mixed",28.6,"London","Academy",841,"Inadequate"
"Religious","Mixed",28,"London","Academy",872,"Requires Improvement"
"Non-religious","Mixed",26.6,"London","Academy",755,"Requires Improvement"
"Religious","Mixed",27.4,"London","Academy",904,"Requires Improvement"
"Religious","Single-sex",29.3,"London","Academy",1077,"Good"
"Religious","Mixed",27.8,"London","Academy",942,"Requires Improvement"
"Religious","Mixed",30.3,"London","Academy",1396,"Good"
"Non-religious","Mixed",25.1,"London","Academy",796,"Good"
"Non-religious","Mixed",28.1,"London","Academy",965,"Good"
"Religious","Single-sex",28.1,"London","Academy",1274,"Good"
"Non-religious","Mixed",28.1,"London","Community",574,"Good"
"Religious","Mixed",28.2,"London","Academy",960,"Outstanding"
"Non-religious","Mixed",26.7,"London","Foundation",853,"Requires Improvement"
"Non-religious","Mixed",27.5,"London","Academy",737,"Good"
"Religious","Single-sex",26.7,"London","Foundation",508,"Good"
"Religious","Single-sex",29.5,"London","Academy",812,"Outstanding"
"Religious","Mixed",28.5,"London","Academy",1234,"Requires Improvement"
"Religious","Mixed",27.3,"London","Foundation",693,"Requires Improvement"
"Non-religious","Mixed",6,"London","Foundation",109,"Good"
"Non-religious","Mixed",NA,"London","Community",89,"Inadequate"
"Non-religious","Mixed",NA,"London","Community",86,"Requires Improvement"
"Religious","Single-sex",26.9,"London","Foundation",496,"Requires Improvement"
"Religious","Mixed",26.2,"London","Academy",1403,"Good"
"Religious","Mixed",29.3,"London","Academy",1265,"Outstanding"
"Religious","Mixed",27.8,"London","Academy",1303,"Good"
"Religious","Mixed",27.9,"London","Academy",1301,"Good"
"Religious","Mixed",28.6,"London","Academy",1443,"Good"
"Non-religious","Mixed",27.8,"London","Academy",884,"Requires Improvement"
"Religious","Mixed",25.8,"London","Foundation",1046,"Good"
"Religious","Mixed",29.2,"London","Academy",1983,"Outstanding"
"Religious","Mixed",25.4,"London","Academy",250,"Good"
"Religious","Mixed",27.2,"London","Academy",435,"Good"
"Non-religious","Mixed",24,"London","Other",103,"Good"
"Religious","Mixed",27.6,"London","Academy",1455,"Outstanding"
"Religious","Mixed",27.4,"London","Academy",658,"Good"
"Non-religious","Mixed",28.2,"London","Academy",984,"Outstanding"
"Non-religious","Mixed",26.2,"London","Academy",983,"Inadequate"
"Religious","Single-sex",28,"London","Academy",1132,"Outstanding"
"Religious","Mixed",26.3,"London","Academy",1296,"Requires Improvement"
"Religious","Mixed",29.1,"London","Academy",1133,"Good"
"Non-religious","Mixed",10.7,"London","Community",225,"Good"
"Non-religious","Mixed",3,"London","Academy",70,"Good"
"Religious","Mixed",NA,"London","Other",78,"Outstanding"
"Non-religious","Single-sex",27.6,"London","Academy",786,"Good"
"Religious","Mixed",28.5,"London","Academy",1255,"Good"
"Religious","Mixed",26.8,"London","Academy",1443,"Outstanding"
"Religious","Mixed",26.4,"London","Academy",912,"Good"
"Religious","Single-sex",29,"London","Academy",889,"Outstanding"
"Religious","Single-sex",29,"London","Academy",1138,"Good"
"Religious","Single-sex",29.4,"London","Voluntary",1169,"Outstanding"
"Non-religious","Mixed",28.4,"London","Community",1806,"Outstanding"
"Religious","Mixed",27.2,"London","Academy",1248,"Good"
"Religious","Single-sex",27.8,"London","Academy",989,"Good"
"Non-religious","Mixed",25.5,"London","Academy",812,"Requires Improvement"
"Religious","Mixed",27.5,"London","Academy",1497,"Outstanding"
"Religious","Mixed",NA,"London","Academy",404,"Outstanding"
"Non-religious","Mixed",26.5,"London","Academy",1087,"Outstanding"
"Religious","Mixed",29.1,"London","Academy",1177,"Outstanding"
"Non-religious","Mixed",12.5,"London","Community",160,"Good"
"Non-religious","Mixed",NA,"London","Community",90,"Good"
"Non-religious","Mixed",26.2,"London","Community",565,"Good"
"Religious","Single-sex",27.5,"London","Academy",758,"Good"
"Non-religious","Single-sex",28.8,"London","Academy",1348,"Outstanding"
"Religious","Mixed",28.9,"London","Academy",1072,"Requires Improvement"
"Religious","Single-sex",29.3,"London","Academy",941,"Outstanding"
"Religious","Single-sex",28.3,"London","Academy",981,"Outstanding"
"Non-religious","Single-sex",27.1,"London","Academy",742,"Good"
"Religious","Single-sex",33.2,"London","Academy",968,"Outstanding"
"Religious","Single-sex",33.1,"London","Academy",1110,"Outstanding"
"Religious","Single-sex",27.8,"London","Academy",1306,"Good"
"Non-religious","Mixed",NA,"London","Foundation",62,"Outstanding"
"Non-religious","Mixed",NA,"London","Community",72,"Outstanding"
"Non-religious","Mixed",14.5,"London","Community",140,"Good"
"Non-religious","Mixed",26.3,"London","Academy",1157,"Outstanding"
"Religious","Mixed",25.3,"London","Academy",562,"Good"
"Non-religious","Mixed",26.7,"London","Community",1082,"Requires Improvement"
"Non-religious","Single-sex",27.4,"London","Community",1288,"Good"
"Religious","Single-sex",27.7,"London","Voluntary",1225,"Good"
"Religious","Mixed",25.1,"London","Academy",844,"Good"
"Religious","Single-sex",28.6,"London","Voluntary",1383,"Outstanding"
"Religious","Single-sex",28.1,"London","Voluntary",1268,"Good"
"Non-religious","Mixed",9.2,"London","Community",176,"Outstanding"
